"Handle","Title","Description","SEO Title","SEO Description","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","SKU","Quantity","Regular Price","Sale Price","Cost","Images","Variant Image","Status","Collections","URL","Tax","Created","Updated","Length","Width","Height","Weight"
"elshaddad-ring-butterfly-2","Elshaddad ring butterfly 2","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Elshaddad ring butterfly 2","",,,,,,,"",1,"500","295","","https://assets.wuiltstore.com/cmp6zcy1i032b01k8c8r5a4za_IMG_7629.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-butterfly-2","Global","2026-05-15T16:55:52.045Z","2026-05-15T16:55:52.090Z","","","",""
"elshadad-ring-1","elshadad ring big stone","<p>gold plated</p>
<p>free size</p>","elshadad ring 1","","color","silver",,,,,"",0,"500","350","","https://assets.wuiltstore.com/cmp6xbqoq02wc01k8evxq1ht0_IMG_7621.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshadad-ring-1","Global","2026-05-14T22:44:51.392Z","2026-05-15T16:54:32.953Z","","","",""
"elshadad-ring-1",,,,,"color","gold",,,,,"",2,"500","350","","","","","","https://salmabehery.com/en/product/all/elshadad-ring-1","",,,"","","",""
"elshaddad-ring-7","Elshaddad ring flower","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Elshaddad ring 7","","color","gold",,,,,"",0,"500","295","","https://assets.wuiltstore.com/cmp6xexk302wr01k85drxeej5_IMG_7632.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-7","Global","2026-05-14T23:24:55.694Z","2026-05-15T16:54:19.187Z","","","",""
"elshaddad-ring-7",,,,,"color","silver",,,,,"",0,"500","295","","","","","","https://salmabehery.com/en/product/all/elshaddad-ring-7","",,,"","","",""
"elshaddad-ring-5","elshaddad ring turquoise ","<p>gold plated</p>
<p>free size</p>
<p>&nbsp;</p>","elshaddad ring 5","",,,,,,,"",3,"500","295","","https://assets.wuiltstore.com/cmp6xh92n02wv01k8523f4vn0_IMG_7627.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-5","Global","2026-05-14T22:59:07.756Z","2026-05-15T16:54:08.052Z","","","",""
"elshaddad-ring-6","elshaddad ring sunflower ","<p>gold plated</p>
<p>free size&nbsp;</p>","elshaddad ring 6","","color","turquoise",,,,,"",2,"500","295","","https://assets.wuiltstore.com/cmp6xl3jx02xi01k88vji8q6l_IMG_7636.webp","","ACTIVE","","https://salmabehery.com/en/product/all/elshaddad-ring-6","Global","2026-05-14T23:01:18.758Z","2026-05-15T16:53:40.964Z","","","",""
"elshaddad-ring-6",,,,,"color","gold",,,,,"",5,"500","295","","","","","","https://salmabehery.com/en/product/all/elshaddad-ring-6","",,,"","","",""
"elshaddad-ring-6",,,,,"color","silver",,,,,"",2,"500","295","","","","","","https://salmabehery.com/en/product/all/elshaddad-ring-6","",,,"","","",""
"elshaddad-ring-3","elshaddad ring butterfly 1","<p>gold plated</p>","elshaddad ring 3 ","",,,,,,,"",3,"500","295","","https://assets.wuiltstore.com/cmp6xqeui02xv01k8hqe3erf4_IMG_7616.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-3","Global","2026-05-14T22:50:35.593Z","2026-05-15T16:53:29.835Z","","","",""
"elshaddad-ring-4","elshaddad ring tennis ","<p>gold plated&nbsp;</p>
<p>free size</p>","elshaddad ring 4","","color","gold",,,,,"",3,"500","295","","https://assets.wuiltstore.com/cmp6x1g4s02vp01k8e3d1ftpg_IMG_7612.webp https://assets.wuiltstore.com/cmp6x1cw502vn01k85bq19vpa_IMG_7613.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-4","Global","2026-05-14T22:53:04.886Z","2026-05-15T16:53:17.599Z","","","",""
"elshaddad-ring-4",,,,,"color","silver",,,,,"",2,"500","295","","","","","","https://salmabehery.com/en/product/all/elshaddad-ring-4","",,,"","","",""
"elshaddad-ring-flower-2","Elshaddad ring flower 2","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Elshaddad ring flower 2","",,,,,,,"",1,"500","295","","https://assets.wuiltstore.com/cmp6z9ad5032001k8et4cc7i6_IMG_7663.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-flower-2","Global","2026-05-15T16:53:01.494Z","2026-05-15T16:53:01.553Z","","","",""
"elshaddad-ring-green-stone","Elshaddad ring green stone ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Elshaddad ring green stone ","",,,,,,,"",2,"500","295","","https://assets.wuiltstore.com/cmp6z2z1m031701k8fcbdczyt_IMG_7646.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/elshaddad-ring-green-stone","Global","2026-05-15T16:48:06.968Z","2026-05-15T16:48:07.085Z","","","",""
"stainless-steel-hand-chain","stainless steel hand chain silver with crystal ","<p>stainless steel</p>","stainless steel hand chain","",,,,,,,"",4,"600","400","","https://assets.wuiltstore.com/cmp6u55ip02pc01k88dfj7w6v_IMG_7549.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/stainless-steel-hand-chain","Global","2026-05-15T14:29:50.444Z","2026-05-15T14:32:04.576Z","","","",""
"stainless-steel-hand-chain-gold-with-crystal","stainless steel Hand chain gold with crystal ","<p>stainless steel&nbsp;</p>","stainless steel Hand chain gold with crystal ","",,,,,,,"",5,"600","400","","https://assets.wuiltstore.com/cmp6u7i9x02pj01k85b8fbwuh_IMG_7537.webp https://assets.wuiltstore.com/cmp6u7f5g02ph01k85cvu2mc0_IMG_7535.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/stainless-steel-hand-chain-gold-with-crystal","Global","2026-05-15T14:31:36.455Z","2026-05-15T14:31:36.504Z","","","",""
"Simple-gold-stainless-steel-hand-chain-","Simple Gold Stainless Steel Hand Chain","<li>Stainless steel&nbsp;</li>","Simple Gold Stainless Steel Hand Chain","Premium jewelry piece.",,,,,,,"",2,"350","295","","https://assets.wuiltstore.com/cmmdcum7j0f4p01dfgzdkb997_l801c4rkiou99g35g21ajkqwjwva.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/Simple-gold-stainless-steel-hand-chain-","Global","2026-03-06T15:45:35.309Z","2026-05-14T23:42:37.267Z","","","",""
"Stainless-steel-hand-chain-with-eight-crystals","Stainless Steel Hand Chain With Eight Crystals","<li>Stainless steel&nbsp;</li>","Stainless Steel Hand Chain With Eight Crystals","Premium jewelry piece.",,,,,,,"",1,"500","385","","https://assets.wuiltstore.com/cmmdcuhqt0f4n01df3kzp7les_xq0nlkntulsxbiwc4ao7rc3gjviq.webp","","ACTIVE","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/Stainless-steel-hand-chain-with-eight-crystals","Global","2026-03-06T15:45:35.309Z","2026-05-14T23:08:14.826Z","","","",""
"2-line-with-one-crystal-rock-ring","2 line with one crystal rock, ring ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","2 line with one crystal rock, ring ","",,,,,,,"",5,"400","280","","https://assets.wuiltstore.com/cmooo4jmq002g01n77rlg77o4_IMG_6097.webp https://assets.wuiltstore.com/cmooo4j46002e01n7ercdhdbd_IMG_6080.webp","","ACTIVE","new collection,Jewelry,Rings","https://salmabehery.com/en/product/all/2-line-with-one-crystal-rock-ring","Global","2026-05-02T21:21:33.977Z","2026-05-13T18:39:56.856Z","","","",""
"Cosmic-Star-stainless-steel-Ring--silver-","Cosmic Star Stainless Steel Ring  Silver","<p>free size</p>
<p>stainless steel</p>","Cosmic Star Stainless Steel Ring  Silver","Premium jewelry piece.",,,,,,,"",0,"185","120","","https://assets.wuiltstore.com/cmmdcsdqz0f3301df5h9bhrxn_coz0tpfiya1mj571omcmmdq308ty.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Cosmic-Star-stainless-steel-Ring--silver-","Global","2026-03-06T15:45:35.309Z","2026-05-13T14:29:21.947Z","","","",""
"Stainless-steel-Sun-necklace-","Stainless Steel Sun Necklace","<p>stainless</p>","Stainless Steel Sun Necklace","Premium jewelry piece.",,,,,,,"",0,"250","180","","https://assets.wuiltstore.com/cmmdclusk0eyh01dfd9bahroe_g8c4icqgwh9za8hmn26q5uo0pb4t.webp","","DRAFT","Jewelry,Necklace","https://salmabehery.com/en/product/all/Stainless-steel-Sun-necklace-","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:24:46.559Z","","","",""
"Golden-Leaf-Chain-Bracelet--Stainless-Steel","Golden Leaf Chain Bracelet  Stainless Steel","<li>Stainless steel&nbsp;</li>","Golden Leaf Chain Bracelet  Stainless Steel","Premium jewelry piece.",,,,,,,"",0,"280","200","","https://assets.wuiltstore.com/cmmdctgm30f3v01dfekgl2y45_f71x5tuwhuwmi3v89jy5bj2as9zo.webp","","DRAFT","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Golden-Leaf-Chain-Bracelet--Stainless-Steel","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:23:32.476Z","","","",""
"Cherry-Vine-Bracelet--Stainless-Steel","Cherry Vine Bracelet  Stainless Steel","<li>Stainless steel&nbsp;</li>","Cherry Vine Bracelet  Stainless Steel","Premium jewelry piece.",,,,,,,"",0,"280","","","https://assets.wuiltstore.com/cmmdct4xr0f3n01dff9bc8h6k_2ib53cvdok0p3846f35ixi0h7lld.webp","","DRAFT","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Cherry-Vine-Bracelet--Stainless-Steel","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:23:07.611Z","","","",""
"2-curves-chunky-bangle--silver-","2 Curves Chunky Bangle  Silver","<div>gold plated.</div>","2 Curves Chunky Bangle  Silver","Premium jewelry piece.",,,,,,,"",0,"250","180","","https://assets.wuiltstore.com/cmmdcwreu0f5x01dfdy17gd6f_ptg4ncx4i8pmtg2z36kdimjfzfu9.webp","","DRAFT","Jewelry,Bracelet","https://salmabehery.com/en/product/all/2-curves-chunky-bangle--silver-","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:22:26.198Z","","","",""
"gold-plated-ring-colorful-stones","Gold plated  ring - colorful stones ","<p>Gold plated&nbsp;</p>
<p>size 7&nbsp;</p>","Gold plated  ring - colorful stones ","",,,,,,,"",0,"300","200","","https://assets.wuiltstore.com/cmoyi04zi0fdo01ln3ix9aoj9_IMG_6761.webp https://assets.wuiltstore.com/cmoyi04510fdm01lnfpd6ht8b_IMG_6757.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/gold-plated-ring-colorful-stones","Global","2026-05-09T18:27:51.916Z","2026-05-12T18:21:46.112Z","","","",""
"pinky-ring-star-shape-gold-plated","Pinky ring star shape- gold plated ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Pinky ring star shape- gold plated ","",,,,,,,"",0,"250","190","","https://assets.wuiltstore.com/cmnwb2zkv045201n01k5l8wnf_IMG_4824.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/pinky-ring-star-shape-gold-plated","Global","2026-04-13T00:58:53.407Z","2026-05-12T18:20:51.979Z","","","",""
"Sunburst-Pearl-stainless-steel-Ring","Sunburst Pearl Stainless Steel Ring","<p>free size</p>
<p>stainless steel&nbsp;</p>","Sunburst Pearl Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",1,"165","","","https://assets.wuiltstore.com/cmmdcle700ey301dfhs16fpdq_9ilrdcd04qcnuve1br8m6dvcew1v.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Sunburst-Pearl-stainless-steel-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:20:18.717Z","","","",""
"Open-See-star-with-pearl-inside-","Open sea Star With Pearl Inside","","Open See Star With Pearl Inside","Premium jewelry piece.",,,,,,,"",1,"250","200","","https://assets.wuiltstore.com/cmmdciwhc0ewc01dfc8p14kz9_l4hnt6jw3qmxeagb8iebfjmdu687.webp","","ACTIVE","Jewelry,Necklace","https://salmabehery.com/en/product/all/Open-See-star-with-pearl-inside-","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:18:53.455Z","","","",""
"Engraved-Star-Signet-stainless-steel-Ring","Engraved Star Signet Stainless Steel Ring","<p>stainless steel&nbsp;</p>
<p>free size&nbsp;</p>","Engraved Star Signet Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",2,"185","120","","https://assets.wuiltstore.com/cmmdcp7rs0f0w01dfgy91gmy2_3g4fkqbw1it2wp0x0rnepet6cs4s.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Engraved-Star-Signet-stainless-steel-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-12T18:18:40.287Z","","","",""
"3-link-with-traditional","3 link with traditional ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","3 link with traditional ","",,,,,,,"",2,"300","200","","https://assets.wuiltstore.com/cmoyia74f0fe201lnhmqrg56o_IMG_6785.webp https://assets.wuiltstore.com/cmoyia4vv0fe001ln1b3z3fj7_IMG_6784.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/3-link-with-traditional","Global","2026-05-09T18:35:38.813Z","2026-05-12T16:30:16.290Z","","","",""
"Floral-Charm-Bracelet--Stainless-Steel","Floral Charm Bracelet  Stainless Steel","<li>Stainless steel&nbsp;</li>","Floral Charm Bracelet  Stainless Steel","Premium jewelry piece.",,,,,,,"",0,"450","280","","https://assets.wuiltstore.com/cmmdct2290f3l01df64cu3s8z_5kyu013puf471x2z5nd17kxesuit.webp","","DRAFT","Jewelry,Bracelet","https://salmabehery.com/en/product/all/Floral-Charm-Bracelet--Stainless-Steel","Global","2026-03-06T15:45:35.309Z","2026-05-12T02:40:52.809Z","","","",""
"Stainless-steel-hand-chain-with-and-crystal-","Stainless Steel Hand Chain With And Crystal","","Stainless Steel Hand Chain With And Crystal","Premium jewelry piece.",,,,,,,"",0,"320","","","https://assets.wuiltstore.com/cmmdcn0jv0ezd01df0eq12xio_7621tulanaqqe7ybs999lx62n1q4.webp","","DRAFT","Jewelry,Hand Chains","https://salmabehery.com/en/product/all/Stainless-steel-hand-chain-with-and-crystal-","Global","2026-03-06T15:45:35.309Z","2026-05-12T02:40:05.632Z","","","",""
"pinky-ring-stars-gold-plated","Pinky ring stars - gold plated ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Pinky ring stars - gold plated ","",,,,,,,"",-1,"250","190","","https://assets.wuiltstore.com/cmnwb1dea044z01n03pw09xpz_IMG_4829.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/pinky-ring-stars-gold-plated","Global","2026-04-13T00:57:37.981Z","2026-05-12T02:39:04.970Z","","","",""
"Stones-with-pearl-stainless-steel-ring-","Stones With Pearl Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Stones With Pearl Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",0,"185","","","https://assets.wuiltstore.com/cmmdcsq420f3d01df2miva40m_aexqaihprzlsoq8ws530bf0j6kws.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Stones-with-pearl-stainless-steel-ring-","Global","2026-03-06T15:45:35.309Z","2026-05-12T02:38:35.082Z","","","",""
"Key-of-Life-Ring-Ankh-Ring","Key Of Life Ring Ankh Ring","<p>Stainless steel&nbsp;</p>
<p>free size</p>","Key Of Life Ring Ankh Ring","Premium jewelry piece.",,,,,,,"",0,"150","","","https://assets.wuiltstore.com/cmmdcoeoe0f0d01df7iqf51am_kv5qnant7f2nngjcbod2s5k1a1dp.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Key-of-Life-Ring-Ankh-Ring","Global","2026-03-06T15:45:35.309Z","2026-05-12T02:37:54.684Z","","","",""
"colorful-stones-4-stackable-rings-gold-plated","Colorful stones -4 stackable rings - gold plated","<p>Gold plated&nbsp;</p>","Colorful stones -4 stackable rings - gold plated ","","size","7",,,,,"",1,"410","","","https://assets.wuiltstore.com/cmnkpvwch007l01l73g3qa1xs_IMG_4366.webp https://assets.wuiltstore.com/cmnkpvywi006l01lz6ifkae4l_IMG_4357.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/colorful-stones-4-stackable-rings-gold-plated","Global","2026-04-04T22:20:02.837Z","2026-05-12T01:09:55.940Z","","","",""
"colorful-stones-4-stackable-rings-gold-plated",,,,,"size","8",,,,,"",0,"410","","","","","","","https://salmabehery.com/en/product/all/colorful-stones-4-stackable-rings-gold-plated","",,,"","","",""
"colorful-stones-4-stackable-rings-gold-plated",,,,,"size","9",,,,,"",0,"410","","","","","","","https://salmabehery.com/en/product/all/colorful-stones-4-stackable-rings-gold-plated","",,,"","","",""
"colorful-stones-4-stackable-rings-gold-plated",,,,,"size","6",,,,,"",0,"410","","","","","","","https://salmabehery.com/en/product/all/colorful-stones-4-stackable-rings-gold-plated","",,,"","","",""
"ring-with-star-charm-gold-plated","Ring with star charm - gold plated ","<p>Gold plated&nbsp;</p>
<p>free size&nbsp;</p>","Ring with star charm - gold plated ","",,,,,,,"",0,"300","200","","https://assets.wuiltstore.com/cmoyhvarz0fdb01ln7w634x6b_IMG_6776.webp https://assets.wuiltstore.com/cmoyhv8py0fd901ln17ed1fat_IMG_6777.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/ring-with-star-charm-gold-plated","Global","2026-05-09T18:24:04.785Z","2026-05-11T22:56:17.830Z","","","",""
"Star-with-Crystal-ring","Star With Crystal Ring","<p>Stainless steel&nbsp;</p>","Star With Crystal Ring","Premium jewelry piece.","size","8",,,,,"",0,"220","150","","https://assets.wuiltstore.com/cmmdctn0t0f3z01df8pr82njc_fdtsicct9g8wk0stl635fpbcbcca.webp","","ACTIVE","","https://salmabehery.com/en/product/all/Star-with-Crystal-ring","Global","2026-03-06T15:45:35.309Z","2026-05-11T22:55:49.905Z","","","",""
"Star-with-Crystal-ring",,,,,"size","7",,,,,"",0,"220","150","","","","","","https://salmabehery.com/en/product/all/Star-with-Crystal-ring","",,,"","","",""
"Small-sea-stars-stainless-steel-ring-","Small Sea Stars Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Small Sea Stars Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",2,"110","","","https://assets.wuiltstore.com/cmmdcit6w0ewa01df5jpb6s7a_opkrkw14z5fcr3safns4seda3k1i.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Small-sea-stars-stainless-steel-ring-","Global","2026-03-06T15:45:35.309Z","2026-05-11T22:55:18.936Z","","","",""
"Colorful-stone-circle-stainless-steel-ring","Colorful Stone Circle Stainless Steel Ring","<p>stainless steel</p>
<p>free size</p>","Colorful Stone Circle Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",4,"150","100","","https://assets.wuiltstore.com/cmmdcmv320ez901df1peg25p7_mvac832cp1t2wpsssh2us8ye3nke.webp","","ACTIVE","Jewelry,Rings","https://salmabehery.com/en/product/all/Colorful-stone-circle-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-11T19:47:30.922Z","","","",""
"burgundy-bow-earrings","Burgundy Bow Earrings","<p>Gold plated&nbsp;</p>","Burgundy Bow Earrings","",,,,,,,"",1,"400","200","","https://assets.wuiltstore.com/cmoygmb8r0f9v01ln6t6sdtel_IMG_6712.webp","","ACTIVE","Jewelry,Extra things","https://salmabehery.com/en/product/all/burgundy-bow-earrings","Global","2026-05-08T02:40:05.272Z","2026-05-11T19:47:09.145Z","","","",""
"Sun-and-moon-necklace-","Sun And Moon Necklace","<p>stainless steel&nbsp;</p>","Sun And Moon Necklace","Premium jewelry piece.",,,,,,,"",0,"350","","","https://assets.wuiltstore.com/cmmdcrjy90f2h01df3j41bpbp_gt2sqbc2lqovjnze5x50ac417fb2","","DRAFT","Jewelry,Necklace","https://salmabehery.com/en/product/all/Sun-and-moon-necklace-","Global","2026-03-06T15:45:35.309Z","2026-05-11T15:22:14.055Z","","","",""
"Basic-stainless-steel-necklace-","Basic Stainless Steel Necklace","<li>Stainless steel&nbsp;</li>","Basic Stainless Steel Necklace","Premium jewelry piece.",,,,,,,"",0,"130","","","https://assets.wuiltstore.com/cmmdcr17h0f2401df75o5670n_2k94r0pdr49nmd8co5i2cw8cs582.webp","","DRAFT","Jewelry,Necklace","https://salmabehery.com/en/product/all/Basic-stainless-steel-necklace-","Global","2026-03-06T15:45:35.309Z","2026-05-11T15:21:49.748Z","","","",""
"Modern-design-2-stainless-steel-ring---silver-","Modern Design 2 Stainless Steel Ring   Silver","<p>stainless steel.</p>
<p>free size.</p>","Modern Design 2 Stainless Steel Ring   Silver","Premium jewelry piece.",,,,,,,"","Available","150","100","","https://assets.wuiltstore.com/cmmdcsn430f3b01df932k1si7_usvuao5nsuzpl7tx5ndxnjikprwi.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Modern-design-2-stainless-steel-ring---silver-","Global","2026-03-06T15:45:35.309Z","2026-05-11T15:21:21.338Z","","","",""
"2-layers-stainless-steel-bracelet-","2 Layers Stainless Steel Bracelet","<li>Stainless steel&nbsp;</li>","2 Layers Stainless Steel Bracelet","Premium jewelry piece.",,,,,,,"",0,"250","180","","https://assets.wuiltstore.com/cmmdchxlw0evo01df1fl05h5r_ry4h5yzexv2uw0imco2ei9wscck9.webp","","DRAFT","Jewelry,Bracelet","https://salmabehery.com/en/product/all/2-layers-stainless-steel-bracelet-","Global","2026-03-06T15:45:35.309Z","2026-05-11T15:21:05.809Z","","","",""
"Flower-stainless-steel-ring","Flower Stainless Steel Ring","<li>Stainless steel&nbsp;</li>","Flower Stainless Steel Ring","Premium jewelry piece.",,,,,,,"",0,"185","150","","https://assets.wuiltstore.com/cmmdctpxj0f4101dfcoa7h2ev_3g0xrcat5f4ebkhi01i27i4tcc49.webp","","DRAFT","Jewelry,Rings","https://salmabehery.com/en/product/all/Flower-stainless-steel-ring","Global","2026-03-06T15:45:35.309Z","2026-05-11T14:45:55.959Z","","","",""
